Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 10 Enplanements,CY 09 Enplanements,% Change
246,SO,MS,UTA,Tunica,Tunica Municipal,P,N,"65,907","64,238",2.60%
247,EA,MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,P,N,"65,489","59,662",9.77%
248,SW,LA,LCH,Lake Charles,Lake Charles Regional,P,N,"65,340","55,174",18.43%
249,WP,NV,VGT,Las Vegas,North Las Vegas,P,N,"64,674","26,526",143.81%
250,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,"64,536","62,498",3.26%
251,SO,GA,CSG,Columbus,Columbus Metropolitan,P,N,"63,726","48,526",31.32%
252,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,"62,177","57,472",8.19%
253,WP,AZ,FLG,Flagstaff,Flagstaff Pulliam,P,N,"62,109","66,627",-6.78%
254,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,"61,899","59,007",4.90%
255,NM,ID,LWS,Lewiston,Lewiston-Nez Perce County,P,N,"61,737","62,210",-0.76%
256,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,"61,413","58,197",5.53%
257,SW,TX,ACT,Waco,Waco Regional,P,N,"61,401","66,089",-7.09%
258,WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,"60,682","62,592",-3.05%
259,GL,MI,SAW,Gwinn,Sawyer International,P,N,"57,371","53,802",6.63%
260,AL,AK,OME,Nome,Nome,P,N,"56,658","54,994",3.03%
261,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,"56,021","60,353",-7.18%
262,WP,CA,RDD,Redding,Redding Municipal,P,N,"54,420","54,141",0.52%
263,NM,WA,YKM,Yakima,Yakima Air Terminal/McAllister Field,P,N,"53,832","60,028",-10.32%
264,NM,ID,SUN,Hailey,Friedman Memorial,P,N,"52,755","49,549",6.47%
266,WP,CA,SCK,Stockton,Stockton Metropolitan,P,N,"50,632","28,368",78.48%
268,WP,CA,SMX,Santa Maria,Santa Maria Public/Capt G Allan Hancock Field,P,N,"47,741","43,631",9.42%
270,NM,WA,EAT,East Wenatchee,Pangborn Memorial,P,N,"46,837","51,561",-9.16%
271,SO,PR,VQS,Isla De Vieques,Antonio Rivera Rodriguez,P,N,"46,267","20,759",122.88%
272,WP,AS,PPG,Pago Pago,Pago Pago International,P,N,"45,206","43,399",4.16%
273,CE,KS,MHK,Manhattan,Manhattan Regional,P,N,"44,603","25,074",77.89%
274,SW,TX,SPS,Wichita Falls,Sheppard AFB/Wichita Falls Municipal,P,N,"44,296","43,952",0.78%
275,WP,HI,LNY,Lanai City,Lanai,P,N,"43,922","42,594",3.12%
276,NE,MA,MVY,Vineyard Haven,Marthas Vineyard,P,N,"43,904","42,248",3.92%
277,SW,NM,SAF,Santa Fe,Santa Fe Municipal,P,N,"43,807","9,767",348.52%
279,AL,AK,DLG,Dillingham,Dillingham,P,N,"42,927","29,374",46.14%
280,SO,GA,VLD,Valdosta,Valdosta Regional,P,N,"42,537","41,516",2.46%
281,AL,AK,AKN,King Salmon,King Salmon,P,N,"41,514","40,637",2.16%
282,SO,AL,DHN,Dothan,Dothan Regional,P,N,"41,453","42,071",-1.47%
283,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,"40,141","39,494",1.64%
285,SW,NM,ROW,Roswell,Roswell International Air Center,P,N,"38,850","38,391",1.20%
286,AL,AK,HOM,Homer,Homer,P,N,"38,407","38,536",-0.33%
287,SO,PR,SIG,San Juan,Fernando Luis Ribas Dominicci,P,N,"38,363","23,083",66.20%
288,CE,MO,COU,Columbia,Columbia Regional,P,N,"38,293","26,842",42.66%
289,NM,UT,DXZ,Beaver,St George Municipal,P,N,"37,596","39,037",-3.69%
291,AL,AK,SCC,Deadhorse,Deadhorse,P,N,"37,319","31,395",18.87%
292,NM,CO,GUC,Gunnison,Gunnison-Crested Butte Regional,P,N,"37,316","42,130",-11.43%
