Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 10 Enplanements,CY 09 Enplanements,% Change
84,GL,MI,GRR,Grand Rapids,Gerald R. Ford International,P,S,"1,089,002","883,677",23.24%
85,EA,NY,SYR,Syracuse,Syracuse Hancock International,P,S,"1,024,505","1,016,571",0.78%
86,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,"1,013,418","1,095,038",-7.45%
87,EA,NY,HPN,White Plains,Westchester County,P,S,"999,831","964,927",3.62%
88,CE,IA,DSM,Des Moines,Des Moines International,P,S,"898,840","853,596",5.30%
89,NM,CO,COS,Colorado Springs,City of Colorado Springs Municipal,P,S,"877,367","931,993",-5.86%
90,EA,NY,ISP,Islip,Long Island MacArthur,P,S,"858,741","929,902",-7.65%
91,SO,NC,GSO,Greensboro,Piedmont Triad International,P,S,"855,073","862,679",-0.88%
92,NE,ME,PWM,Portland,Portland International Jetport,P,S,"851,566","871,291",-2.26%
93,SO,TN,TYS,Alcoa,McGhee Tyson,P,S,"804,917","811,379",-0.80%
94,SO,GA,SAV,Savannah,Savannah/Hilton Head International,P,S,"798,194","799,066",-0.11%
95,SO,SC,MYR,Myrtle Beach,Myrtle Beach International,P,S,"782,737","704,771",11.06%
96,GL,OH,CAK,Akron,Akron-Canton Regional,P,S,"771,107","715,367",7.79%
97,GL,WI,MSN,Madison,Dane County Regional-Truax Field,P,S,"766,953","747,941",2.54%
98,CE,KS,ICT,Wichita,Wichita Mid-Continent,P,S,"751,601","730,374",2.91%
99,WP,CA,PSP,Palm Springs,Palm Springs International,P,S,"751,068","739,349",1.59%
100,SO,FL,PNS,Pensacola,Pensacola Gulf Coast Regional,P,S,"729,748","694,786",5.03%
101,SO,FL,SRQ,Sarasota/Bradenton,Sarasota/Bradenton International,P,S,"670,992","675,969",-0.74%
102,EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,"669,470","525,121",27.49%
103,EA,PA,MDT,Harrisburg,Harrisburg International,P,S,"664,968","615,625",8.02%
104,SO,SC,GSP,Greer,Greenville Spartanburg International,P,S,"642,512","625,728",2.68%
105,NE,VT,BTV,Burlington,Burlington International,P,S,"640,790","700,592",-8.54%
106,SO,MS,JAN,Jackson,Jackson-Evers International,P,S,"618,373","635,116",-2.64%
107,WP,HI,ITO,Hilo,Hilo International,P,S,"611,782","651,212",-6.05%
108,SO,VI,STT,Charlotte Amalie,Cyril E King,P,S,"606,137","589,163",2.88%
109,SO,AL,HSV,Huntsville,Huntsville International-Carl T Jones Field,P,S,"606,127","572,767",5.82%
110,WP,CA,FAT,Fresno,Fresno Yosemite International,P,S,"569,879","580,203",-1.78%
111,SO,FL,SFB,Sanford,Orlando Sanford International,P,S,"553,892","836,223",-33.76%
112,SW,AR,XNA,Bentonville,Northwest Arkansas Regional,P,S,"549,195","530,087",3.60%
113,SO,KY,LEX,Lexington,Blue Grass,P,S,"539,492","450,464",19.76%
114,EA,VA,PHF,Newport News,Newport News/Williamsburg International,P,S,"519,906","498,205",4.36%
115,SW,TX,LBB,Lubbock,Lubbock Preston Smith International,P,S,"508,858","534,818",-4.85%
116,GL,MI,FNT,Flint,Bishop International,P,S,"497,649","489,388",1.69%
117,SO,SC,CAE,Columbia,Columbia Metropolitan,P,S,"486,879","521,165",-6.58%
118,GL,IL,MLI,Moline,Quad City International,P,S,"477,086","461,888",3.29%
119,CE,IA,CID,Cedar Rapids,The Eastern Iowa,P,S,"462,670","474,508",-2.49%
120,SO,MS,GPT,Gulfport,Gulfport-Biloxi International,P,S,"461,072","411,978",11.92%
121,SW,TX,MAF,Midland,Midland International,P,S,"445,043","423,801",5.01%
122,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,"435,392","424,496",2.57%
123,WP,MP,GSN,Saipan,Francisco C. Ada/Saipan International,P,S,"433,577","384,882",12.65%
124,WP,AZ,IWA,Mesa,Phoenix-Mesa Gateway,P,S,"417,862","289,770",44.20%
125,NE,ME,BGR,Bangor,Bangor International,P,S,"416,328","388,681",7.11%
126,EA,PA,ABE,Allentown,Lehigh Valley International,P,S,"414,427","376,100",10.19%
127,SO,NC,ILM,Wilmington,Wilmington International,P,S,"408,058","400,526",1.88%
128,NM,WA,BLI,Bellingham,Bellingham International,P,S,"398,368","326,850",21.88%
129,SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,S,"394,593","394,569",0.01%
130,NM,MT,BIL,Billings,Billings Logan International,P,S,"388,329","397,073",-2.20%
131,SO,FL,PIE,Clearwater,St Petersburg-Clearwater International,P,S,"384,394","381,029",0.88%
132,WP,CA,SBA,Santa Barbara,Santa Barbara Municipal,P,S,"382,894","379,777",0.82%
133,SW,LA,BTR,Baton Rouge,"Baton Rouge Metropolitan, Ryan Field",P,S,"382,687","347,815",10.03%
134,CE,MO,SGF,Springfield,Springfield-Branson National,P,S,"381,172","398,025",-4.23%
135,SW,TX,HRL,Harlingen,Valley International,P,S,"373,438","367,269",1.68%
136,SO,NC,AVL,Asheville,Asheville Regional,P,S,"371,226","293,789",26.36%
137,NM,OR,EUG,Eugene,Mahlon Sweet Field,P,S,"369,397","340,662",8.44%
138,GL,ND,FAR,Fargo,Hector International,P,S,"365,963","352,041",3.95%
139,NM,MT,BZN,Bozeman,Gallatin Field,P,S,"364,521","343,754",6.04%
,,,74,,,,S Count,,,
140,GL,SD,FSD,Sioux Falls,Joe Foss Field,P,N,"355,939","332,709",6.98%
141,GL,WI,GRB,Green Bay,Austin Straubel International,P,N,"349,733","348,151",0.45%
142,SO,FL,VPS,Valparaiso,Eglin AFB,P,N,"348,979","374,220",-6.74%
143,SW,TX,MFE,McAllen,McAllen Miller International,P,N,"344,302","361,778",-4.83%
144,AL,AK,JNU,Juneau,Juneau International,P,N,"344,057","337,038",2.08%
145,SW,TX,CRP,Corpus Christi,Corpus Christi International,P,N,"339,193","349,383",-2.92%
146,SO,FL,TLH,Tallahassee,Tallahassee Regional,P,N,"325,097","360,441",-9.81%
147,WP,AZ,GCN,Grand Canyon,Grand Canyon National Park,P,N,"318,622","297,894",6.96%
148,GL,IN,SBN,South Bend,South Bend Regional,P,N,"317,096","318,974",-0.59%
149,EA,VA,ROA,Roanoke,Roanoke Regional/Woodrum Field,P,N,"316,478","297,588",6.35%
150,NM,WA,PSC,Pasco,Tri-Cities,P,N,"312,915","258,546",21.03%
151,SO,FL,ECP,Panama City,Northwest Florida Beaches International,P,N,"312,114","150,401",107.52%
152,NM,OR,MFR,Medford,Rogue Valley International - Medford,P,N,"310,824","287,558",8.09%
153,SO,TN,CHA,Chattanooga,Lovell Field,P,N,"292,830","311,399",-5.96%
154,NM,MT,MSO,Missoula,Missoula International,P,N,"289,875","281,428",3.00%
155,NM,WY,JAC,Jackson,Jackson Hole,P,N,"288,325","284,397",1.38%
156,SO,FL,EYW,Key West,Key West International,P,N,"287,359","234,322",22.63%
157,GL,SD,RAP,Rapid City,Rapid City Regional,P,N,"284,126","266,467",6.63%
158,SO,AL,MOB,Mobile,Mobile Regional,P,N,"277,232","280,491",-1.16%
159,GL,IL,BMI,Bloomington-Normal Airport,Central IL Regional Airport at Bloomington-Normal,P,N,"274,677","243,448",12.83%
160,GL,IN,FWA,Fort Wayne,Fort Wayne International,P,N,"273,056","259,315",5.30%
161,GL,WI,ATW,Appleton,Outagamie County Regional,P,N,"272,471","271,997",0.17%
162,EA,WV,CRW,Charleston,Yeager,P,N,"264,818","238,190",11.18%
163,SO,NC,FAY,Fayetteville,Fayetteville Regional/Grannis Field,P,N,"258,986","231,002",12.11%
164,GL,IL,PIA,Peoria,General Downing - Peoria International,P,N,"249,595","242,142",3.08%
165,SO,FL,DAB,Daytona Beach,Daytona Beach International,P,N,"246,627","202,417",21.84%
166,SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,"246,587","198,489",24.23%
167,SW,TX,GRK,Killeen,Robert Gray AAF,P,N,"243,861","231,500",5.34%
168,SO,PR,BQN,Aguadilla,Rafael Hernandez,P,N,"241,976","225,924",7.11%
169,SW,LA,SHV,Shreveport,Shreveport Regional,P,N,"237,945","242,919",-2.05%
170,NM,OR,RDM,Redmond,Roberts Field,P,N,"226,400","221,463",2.23%
171,NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,"222,755","216,868",2.71%
172,SW,LA,LFT,Lafayette,Lafayette Regional,P,N,"220,211","205,913",6.94%
173,NM,CO,GJT,Grand Junction,Grand Junction Regional,P,N,"219,358","228,850",-4.15%
174,EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,"213,422","204,244",4.49%
175,SO,TN,TRI,Bristol/Johnson/Kingsport,Tri-Cities Regional TN/VA,P,N,"202,114","217,783",-7.19%
176,EA,NY,SWF,Newburgh,Stewart International,P,N,"201,684","197,655",2.04%
