三重県,白米,三重県伊賀市,ND,1.60,ND,1.80,2013-12-10,1800,CSK3i,Hanshin Citizens' Radioactivity Measuring Center,Cereals,Rice and processed products of rice,Non-glutinous rice
三重県,玄米,三重県伊賀市,ND,2.70,ND,2.40,2014-10-16,14400,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Cereals,Rice and processed products of rice,Non-glutinous rice
三重県,培養土（花と野菜の土）・花咲き物語・三重県（生産年不明）株式会社秋本天産物,三重県伊賀市,ND,0.60,ND,0.70,2014-10-07,43200,CSK3i,Radioactivity Measurement Request Place in Onomichi,Environment,Agricultural materials,Compost
三重県,豆腐 濃くよせ,三重県伊賀市,ND,0.80,ND,0.70,2014-03-25,10800,CSK3i,Hanshin Citizens' Radioactivity Measuring Center,Beans,Processed products of soybean,Tofu/Bean Curd
三重県,玄米,三重県伊賀市,ND,2.90,ND,2.60,2012-09-14,12000,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Cereals,Rice and processed products of rice,Non-glutinous rice
三重県,さば,三重県伊勢市漁獲,ND,3.50,ND,3.20,2012-11-13,7800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Seafood,Raw seafood (sea water),Other raw seafood (seawater)
三重県,赤福（2013年産）株式会社赤福,三重県伊丹市,ND,0.60,ND,0.80,2013-01-29,43200,CSK3i,Radioactivity Measurement Request Place in Onomichi,Confectionery,Confectionery,Japanese confectionery
三重県,ハチミツ,三重県桑名,ND,11.00,ND,9.90,2012-02-02,2700,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Seasonings and spices,Sugar and sweeteners,Honey
三重県,玄米,三重県桑名市,ND,3.00,ND,2.70,2012-09-14,12000,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Cereals,Rice and processed products of rice,Non-glutinous rice
三重県,大豆①,三重県桑名市,ND,5.60,ND,5.00,2012-01-31,33000,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Beans,Processed products of soybean,Soybean (dried)
三重県,大豆,三重県桑名市,ND,5.00,ND,4.30,2013-02-18,9000,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Beans,Processed products of soybean,Soybean (dried)
三重県,たけのこ（孟宗竹）,三重県桑名市,ND,1.60,ND,1.40,2014-04-30,43200,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Vegetables,Stem vegetables,Bamboo shoot
三重県,玄米,三重県菰野町,ND,4.70,ND,4.60,2011-10-07,22800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Cereals,Rice and processed products of rice,Non-glutinous rice
三重県,ほうじ茶,三重県四日市市,ND,1.80,ND,1.70,2014-09-22,43200,CSK3i,Hanshin Citizens' Radioactivity Measuring Center,Beverage,Tea and other beverages,Other teas
三重県,生わかめ,三重県志摩市,ND,4.60,ND,4.00,2013-04-18,7200,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Seaweed,Seaweed,Brown seaweed
三重県,生わかめ,三重県志摩市,ND,5.00,ND,4.40,2012-04-19,9000,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Seaweed,Seaweed,Brown seaweed
三重県,生あおさ,三重県志摩市,ND,6.60,ND,5.90,2013-04-19,3600,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Seaweed,Seaweed,Other Seaweeds
三重県,生ひじき,三重県志摩市,ND,5.00,ND,4.30,2013-04-19,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Seaweed,Seaweed,Hijiki (Hiziki afusiformis)
三重県,生ひじき,三重県志摩市,ND,5.30,ND,4.60,2012-04-19,10200,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Seaweed,Seaweed,Hijiki (Hiziki afusiformis)
三重県,生あらめ,三重県志摩市大王町,ND,7.20,ND,6.30,2013-04-17,3600,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Seaweed,Seaweed,Other Seaweeds
三重県,生サザエ,三重県志摩市大王町名団,ND,6.20,ND,5.50,2013-04-16,2400,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Seafood,Raw seafood (sea water),Shellfish
三重県,原木露地しいたけ,三重県松坂市,ND,4.90,ND,4.40,2012-05-01,9600,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Mushrooms,Mushrooms,Shiitake mushroom
三重県,玄米(自家消費),三重県松阪市,ND,1.00,ND,1.10,2012-10-12,60000,AT1320A,Kodomomirai Radiation Measurement Station for Children and Future (Kodomira RMS),Cereals,Rice and processed products of rice,Non-glutinous rice
三重県,米糠(H24年1月),三重県青山町,ND,11.00,ND,12.00,2012-03-09,1800,AT1320A,Kodomomirai Radiation Measurement Station for Children and Future (Kodomira RMS),Cereals,Rice and processed products of rice,Rice bran
三重県,お茶,三重県多気郡,ND,19.00,ND,17.00,2012-03-14,4200,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Beverage,Tea and other beverages,Other teas
三重県,梅干し,三重県多気郡多気町,ND,11.00,ND,9.90,2012-03-15,3600,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Fruits,Processed products of fruits,Other processed products of fruits
三重県,ウメ,三重県多気郡大台町,ND,0.83,ND,0.90,2013-06-27,65000,AT1320A,Kodomomirai Radiation Measurement Station for Children and Future (Kodomira RMS),Fruits,Fresh fruits,"Ume, Japanese plum"
三重県,H23年度産玄米,三重県多気郡明和町,ND,3.81,ND,4.19,2011-10-08,1800,AT1320A,NPO Fukushima 30-Years Project,Cereals,Rice and processed products of rice,Non-glutinous rice
三重県,たけのこ（孟宗竹）,三重県多気町,ND,3.00,ND,2.70,2014-06-09,14400,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Vegetables,Stem vegetables,Bamboo shoot
