Prefecture,Name,Location,Cs-134,Cs-134 MDA,Cs-137,Cs-137 MDA,Date,Time Measures (sec),Instrument,Lab,Cat 1,Cat 2,Cat 3
岩手県,経腸栄養剤ラコール,岩手県,ND,4.60,ND,4.50,2011-12-29,18000,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県,ND,3.40,ND,3.20,2014-09-04,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県,ND,3.30,ND,3.00,2015-01-15,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県,ND,3.10,ND,2.80,2015-01-15,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県あま市,ND,3.00,ND,1.20,2014-09-24,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県あま市,ND,3.10,ND,2.80,2014-12-12,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県あま市,ND,1.60,ND,1.40,2014-10-20,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県あま市,ND,1.30,ND,1.20,2014-11-13,43200,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県あま市,ND,3.10,ND,2.80,2015-01-29,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県みよし市,ND,3.30,ND,3.00,2014-12-23,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県みよし市,ND,3.20,ND,2.90,2014-10-24,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県みよし市,ND,3.00,ND,2.70,2014-09-24,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県みよし市,ND,3.20,ND,2.90,2014-11-19,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県みよし市,ND,3.10,ND,2.80,2015-01-29,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県みよし市,ND,3.30,ND,3.00,2015-05-29,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,シジミエキス（原液）,愛知県愛知県側木曽川流域(弥富・愛西・津島市),ND,4.50,ND,4.00,2014-10-16,5400,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県岡崎市,ND,3.30,ND,3.00,2014-12-05,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県岡崎市,ND,2.00,ND,1.80,2014-09-05,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県岡崎市,ND,3.50,ND,3.20,2014-11-05,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県岡崎市,ND,3.10,ND,2.80,2014-10-10,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県岡崎市,ND,3.00,ND,2.70,2014-10-17,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県岡崎市,ND,3.00,ND,2.80,2014-12-03,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県岡崎市,ND,2.90,ND,2.70,2014-12-11,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県岡崎市,ND,3.10,ND,2.80,2015-02-11,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県岡崎市,ND,3.20,ND,2.90,2015-02-12,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県岡崎市,ND,3.20,ND,2.90,2015-02-18,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県岡崎市,ND,3.30,ND,3.00,2015-02-20,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県岡崎市,ND,3.30,ND,3.00,2014-10-10,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県岡崎市,ND,2.00,ND,1.80,2014-10-22,43200,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県岡崎市,ND,3.10,ND,2.70,2015-01-21,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県岡崎市,ND,3.30,ND,3.00,2014-09-05,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県岡崎市,ND,3.20,ND,2.90,2015-01-23,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県岡崎市,ND,3.40,ND,3.10,2014-09-10,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県岡崎市,ND,3.30,ND,3.00,2015-01-28,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県岡崎市,ND,3.10,ND,2.80,2014-11-14,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県岡崎市,ND,2.00,ND,1.80,2014-11-12,43200,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県岡崎市,ND,2.80,ND,2.50,2015-05-21,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県海部郡大治町,ND,2.90,ND,2.60,2014-09-11,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県海部郡大治町,ND,2.90,ND,2.70,2014-11-12,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県海部郡大治町,ND,2.90,ND,2.70,2014-12-03,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県海部郡大治町,ND,3.00,ND,2.80,2014-10-17,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県海部郡大治町,ND,2.80,ND,2.60,2015-01-22,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県海部郡大治町,ND,2.70,ND,2.40,2015-05-20,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
